1/6/2024, 11:37:13 AM | METHOD : GET | URL :  /groups/index | PARAMS : {} | QUERY : {} | BODY {}  
1/6/2024, 11:47:37 AM | METHOD : GET | URL :  /files/check_in/1?file_ides=3 | PARAMS : {} | QUERY : {"file_ides":"3"} | BODY {}  
1/6/2024, 11:47:48 AM | METHOD : POST | URL :  /users/login | PARAMS : {} | QUERY : {} | BODY {"name":"ghassan","password":"12345"}  
1/6/2024, 11:48:04 AM | METHOD : GET | URL :  /users/getUsers | PARAMS : {} | QUERY : {} | BODY {}  
1/6/2024, 11:48:10 AM | METHOD : POST | URL :  /users/login | PARAMS : {} | QUERY : {} | BODY {"name":"fale7","password":"12345"}  
1/6/2024, 11:48:28 AM | METHOD : DELETE | URL :  /groups/remove_user/1/4 | PARAMS : {} | QUERY : {} | BODY {}  
1/6/2024, 11:48:40 AM | METHOD : GET | URL :  /files/check_in/1?file_ides=3 | PARAMS : {} | QUERY : {"file_ides":"3"} | BODY {}  
1/6/2024, 11:48:44 AM | METHOD : GET | URL :  /files/check_in/1?file_ides=3 | PARAMS : {} | QUERY : {"file_ides":"3"} | BODY {}  
1/6/2024, 11:48:46 AM | METHOD : GET | URL :  /files/check_in/1?file_ides=3 | PARAMS : {} | QUERY : {"file_ides":"3"} | BODY {}  
1/6/2024, 11:48:53 AM | METHOD : GET | URL :  /files/check_out/1/1 | PARAMS : {} | QUERY : {} | BODY {}  
1/6/2024, 11:49:53 AM | METHOD : GET | URL :  /files/check_out/1/1 | PARAMS : {} | QUERY : {} | BODY {}  
1/6/2024, 11:49:58 AM | METHOD : GET | URL :  /files/check_out/1/4 | PARAMS : {} | QUERY : {} | BODY {}  
1/6/2024, 11:50:04 AM | METHOD : GET | URL :  /files/check_out/1/3 | PARAMS : {} | QUERY : {} | BODY {}  
1/6/2024, 11:50:13 AM | METHOD : GET | URL :  /files/check_in/1?file_ides=3 | PARAMS : {} | QUERY : {"file_ides":"3"} | BODY {}  
1/6/2024, 11:50:22 AM | METHOD : POST | URL :  /files/add | PARAMS : {} | QUERY : {} | BODY {}  
1/6/2024, 11:50:32 AM | METHOD : POST | URL :  /groups/add_user | PARAMS : {} | QUERY : {} | BODY {"group_id":1,"user_id":4}  
1/6/2024, 11:50:38 AM | METHOD : GET | URL :  /files/check_in/1?file_ides=3 | PARAMS : {} | QUERY : {"file_ides":"3"} | BODY {}  
1/6/2024, 11:50:49 AM | METHOD : DELETE | URL :  /groups/remove_user/1/4 | PARAMS : {} | QUERY : {} | BODY {}  
1/6/2024, 11:51:25 AM | METHOD : GET | URL :  /files/check_in/1?file_ides=3 | PARAMS : {} | QUERY : {"file_ides":"3"} | BODY {}  
1/6/2024, 11:53:26 AM | METHOD : GET | URL :  /files/check_in/1?file_ides=3 | PARAMS : {} | QUERY : {"file_ides":"3"} | BODY {}  
1/6/2024, 11:53:30 AM | METHOD : GET | URL :  /files/check_out/1/3 | PARAMS : {} | QUERY : {} | BODY {}  
1/6/2024, 11:53:33 AM | METHOD : GET | URL :  /files/check_in/1?file_ides=3 | PARAMS : {} | QUERY : {"file_ides":"3"} | BODY {}  
1/6/2024, 11:53:38 AM | METHOD : GET | URL :  /files/check_out/1/3 | PARAMS : {} | QUERY : {} | BODY {}  
1/6/2024, 11:53:46 AM | METHOD : GET | URL :  /files/check_in/1?file_ides=3 | PARAMS : {} | QUERY : {"file_ides":"3"} | BODY {}  
1/6/2024, 11:53:51 AM | METHOD : POST | URL :  /groups/add_user | PARAMS : {} | QUERY : {} | BODY {"group_id":1,"user_id":4}  
1/6/2024, 11:53:52 AM | METHOD : GET | URL :  /files/check_in/1?file_ides=3 | PARAMS : {} | QUERY : {"file_ides":"3"} | BODY {}  
1/6/2024, 11:54:02 AM | METHOD : DELETE | URL :  /groups/remove_user/1/4 | PARAMS : {} | QUERY : {} | BODY {}  
1/6/2024, 11:54:44 AM | METHOD : POST | URL :  /groups/add_user | PARAMS : {} | QUERY : {} | BODY {"group_id":1,"user_id":4}  
1/6/2024, 11:54:46 AM | METHOD : GET | URL :  /files/check_in/1?file_ides=3 | PARAMS : {} | QUERY : {"file_ides":"3"} | BODY {}  
1/6/2024, 11:54:49 AM | METHOD : GET | URL :  /files/check_out/1/3 | PARAMS : {} | QUERY : {} | BODY {}  
1/6/2024, 11:54:53 AM | METHOD : GET | URL :  /files/check_out/1/3 | PARAMS : {} | QUERY : {} | BODY {}  
1/6/2024, 11:54:58 AM | METHOD : GET | URL :  /files/check_in/1?file_ides=3 | PARAMS : {} | QUERY : {"file_ides":"3"} | BODY {}  
1/6/2024, 11:55:00 AM | METHOD : GET | URL :  /files/check_in/1?file_ides=3 | PARAMS : {} | QUERY : {"file_ides":"3"} | BODY {}  
1/6/2024, 11:55:07 AM | METHOD : DELETE | URL :  /groups/remove_user/1/4 | PARAMS : {} | QUERY : {} | BODY {}  
1/6/2024, 11:56:40 AM | METHOD : POST | URL :  /groups/add_user | PARAMS : {} | QUERY : {} | BODY {"group_id":1,"user_id":4}  
1/6/2024, 11:56:43 AM | METHOD : GET | URL :  /files/check_out/1/3 | PARAMS : {} | QUERY : {} | BODY {}  
1/6/2024, 11:56:45 AM | METHOD : GET | URL :  /files/check_in/1?file_ides=3 | PARAMS : {} | QUERY : {"file_ides":"3"} | BODY {}  
1/6/2024, 11:56:49 AM | METHOD : DELETE | URL :  /groups/remove_user/1/4 | PARAMS : {} | QUERY : {} | BODY {}  
1/6/2024, 11:57:15 AM | METHOD : POST | URL :  /groups/add_user | PARAMS : {} | QUERY : {} | BODY {"group_id":1,"user_id":4}  
1/6/2024, 11:57:17 AM | METHOD : GET | URL :  /files/check_in/1?file_ides=3 | PARAMS : {} | QUERY : {"file_ides":"3"} | BODY {}  
1/6/2024, 11:57:20 AM | METHOD : GET | URL :  /files/check_out/1/3 | PARAMS : {} | QUERY : {} | BODY {}  
1/6/2024, 11:57:21 AM | METHOD : GET | URL :  /files/check_in/1?file_ides=3 | PARAMS : {} | QUERY : {"file_ides":"3"} | BODY {}  
1/6/2024, 11:57:25 AM | METHOD : DELETE | URL :  /groups/remove_user/1/4 | PARAMS : {} | QUERY : {} | BODY {}  
1/6/2024, 11:57:41 AM | METHOD : GET | URL :  /files/check_in/1?file_ides=3 | PARAMS : {} | QUERY : {"file_ides":"3"} | BODY {}  
1/6/2024, 11:57:46 AM | METHOD : GET | URL :  /files/check_out/1/3 | PARAMS : {} | QUERY : {} | BODY {}  
